X,Y,Z
0.44927944,1.1715465,0.23325598
0.44616045,1.1599754,0.23442289
0.44290039,1.14856,0.23547228
0.43944053,1.1373635,0.23642466
0.43503694,1.1239946,0.23746252
0.43087862,1.111954,0.23836706
0.42627882,1.1004703,0.23908629
0.42147435,1.0893476,0.2396444
0.41711075,1.07945,0.24010636
0.41212088,1.068988,0.24049459
0.40713101,1.058526,0.24088282
0.4020637,1.0483522,0.24120259
0.39684234,1.0385102,0.24152987
0.39083852,1.02821421,0.24184861
0.38577843,1.02009062,0.24208187
0.38009011,1.01126616,0.24235717
0.3744158,1.00316495,0.24258064
0.36875799,0.99539316,0.242812
0.36251046,0.98704728,0.24308829
0.35672037,0.97993818,0.24335375
0.35031396,0.97230425,0.24366083
0.34385111,0.96501928,0.24398313
0.33741459,0.95812179,0.24429871
0.33217959,0.95282759,0.24457614
0.32638172,0.94705728,0.24488238
0.32001867,0.94126161,0.24527501
0.31474225,0.93680559,0.24562807
0.30874687,0.93227248,0.2460931
0.30275746,0.92807058,0.24656109
0.29740129,0.924419,0.24698974
0.29153725,0.9207716,0.24752378
0.28568823,0.91746943,0.24814289
0.27977657,0.91441099,0.24885713
0.27325232,0.91121041,0.24968896
0.2666805,0.90834557,0.2506168
0.26130209,0.90620696,0.25141621
0.25480142,0.90377898,0.2524514
0.24956856,0.90203947,0.25334965
0.24392351,0.90039669,0.2544776
0.23773301,0.89872243,0.25577485
0.23211284,0.89754969,0.25710287
0.22652289,0.89656815,0.25847651
0.22104076,0.89578637,0.25990015
0.21569672,0.89516664,0.26136408
0.21054593,0.89470574,0.2628564
0.2050092,0.89426709,0.26452511
0.20059473,0.89411781,0.26595804
0.19532296,0.89406496,0.2677692
0.19058586,0.89425587,0.26950016
0.18600213,0.89457965,0.27125064
0.18150347,0.8950372,0.27302638
0.17711108,0.89564593,0.27485314
0.17279885,0.89638942,0.27672371
0.1685967,0.89720544,0.27863711
0.16481174,0.898003,0.2803973
0.16100351,0.89887031,0.28217521
0.1565997,0.89988586,0.28430591
0.15268663,0.90096956,0.28631255
0.14894701,0.90208221,0.28838503
0.14526542,0.90329937,0.29056209
0.14205262,0.90440189,0.29253611
0.13900189,0.90553967,0.29458493
0.13587719,0.90690337,0.29695794
0.13288395,0.9084148,0.29943328
0.12974964,0.91013921,0.30220899
0.12689101,0.91197114,0.30508574
0.1244413,0.91397522,0.30796507
0.12235815,0.91581472,0.31059023
0.12040058,0.91808744,0.31363101
0.11874397,0.92043186,0.31673917
0.11708736,0.92277628,0.31984733
0.1155434,0.92561745,0.32344875
0.11465419,0.92841193,0.3268751
0.11399794,0.93096624,0.32999841
0.11343221,0.934154,0.33368557
0.11297729,0.93761045,0.33752219
0.11272143,0.94118242,0.34144017
0.11248846,0.94522225,0.34579223
0.1124126,0.94923001,0.3499125
0.11236983,0.95296017,0.35367199
0.11403832,0.95691149,0.35787161
0.11595718,0.96077687,0.36178906
0.11776492,0.96493152,0.3658256
0.11963457,0.96964028,0.3703343
0.12160037,0.97410846,0.3744385
0.12358889,0.97810843,0.37809809
0.12563784,0.98294002,0.38227878
0.12778172,0.98795805,0.38647609
0.12999888,0.99308597,0.39068117
0.13228067,0.99888259,0.39533188
0.13293564,1.00510725,0.39998848
0.13349984,1.01073547,0.40414953
0.13411424,1.01717816,0.40871047
0.13474544,1.02377114,0.41321382
0.13541325,1.03043077,0.41766095
0.13608106,1.0370904,0.42210808
0.13684735,1.0438893,0.42640907
0.13749582,1.0500339,0.43025936
0.13822604,1.0569747,0.43440337
0.13898543,1.0639748,0.43846149
0.13975892,1.0710514,0.44242774
0.14063913,1.0788901,0.44672675
0.14152106,1.0860821,0.45047247
0.14240057,1.0933831,0.45411454
0.14319787,1.1000116,0.45735311
0.1441134,1.1081792,0.4612161
0.14490863,1.1156866,0.46456795
0.14577157,1.1239696,0.46821778
0.14652078,1.1315562,0.47137444
0.14722264,1.1391741,0.47444826
0.147873,1.1468641,0.47739989
0.14844287,1.1545862,0.4802644
0.1489684,1.1623644,0.48303568
0.14941764,1.1693292,0.48549604
0.14995887,1.1779776,0.48839627
