X,Y,Z
0.4439113,1.610613,0.1665172
0.4439113,1.610613,0.1665172
0.4444029,1.609076,0.1648536
0.4401931,1.608182,0.1650519
0.4407916,1.605987,0.163594
0.4424492,1.603088,0.1627278
0.4438275,1.599967,0.1618215
0.4453479,1.597068,0.1605781
0.4468203,1.593714,0.1597556
0.4483945,1.590061,0.158891
0.4509428,1.582438,0.1576939
0.4509428,1.582438,0.1576939
0.452833,1.578205,0.1571364
0.4546035,1.573821,0.1563693
0.4568341,1.569196,0.1558296
0.4609091,1.559298,0.155404
0.4629854,1.553571,0.1557369
0.4647129,1.547369,0.1564402
0.4647129,1.547369,0.1564402
0.4678712,1.534972,0.1575602
0.4690902,1.528201,0.1580081
0.4690902,1.528201,0.1580081
0.4703314,1.521768,0.1586702
0.4737626,1.506699,0.1609185
0.4737626,1.506699,0.1609185
0.4770314,1.489718,0.1643246
0.4770314,1.489718,0.1643246
0.4778398,1.480799,0.1666199
0.4784149,1.47147,0.1689458
0.4790051,1.462283,0.1714544
0.47911,1.452174,0.1745279
0.4791446,1.441911,0.1774241
0.4794121,1.431652,0.1802689
0.4811051,1.408988,0.1856825
0.4811051,1.408988,0.1856825
0.4817581,1.397176,0.1883678
0.4808377,1.372576,0.1956427
0.4802775,1.360259,0.1994877
0.4786422,1.347281,0.2031229
0.4786422,1.347281,0.2031229
0.476274,1.321854,0.2091217
0.4753914,1.308879,0.2114861
0.4753914,1.308879,0.2114861
0.4731795,1.281807,0.2160629
0.4706212,1.267791,0.2192925
0.4706212,1.267791,0.2192925
0.4649273,1.240237,0.2252391
0.4619916,1.226866,0.2274702
0.4592177,1.213558,0.2288076
0.4570251,1.199876,0.2302446
0.4570251,1.199876,0.2302446
0.4545724,1.186593,0.2315778
0.4479808,1.160395,0.2343449
0.444374,1.147377,0.2361269
0.4399653,1.135126,0.2370884
0.4353212,1.122899,0.2383274
0.4353212,1.122899,0.2383274
0.4308017,1.111155,0.2391393
0.4266171,1.099404,0.2393015
0.4224265,1.087911,0.2397684
0.4129892,1.066187,0.2406232
0.4129892,1.066187,0.2406232
0.4019828,1.045558,0.2415372
0.3963293,1.03615,0.241708
0.3963293,1.03615,0.241708
0.3854225,1.018279,0.2422097
0.3854225,1.018279,0.2422097
0.3801286,1.009417,0.242337
0.3744035,1.000984,0.2425743
0.3623883,0.9849511,0.2429558
0.3623883,0.9849511,0.2429558
0.356106,0.9779424,0.2433762
0.3452397,0.9645459,0.2437719
0.3397512,0.9584321,0.2440216
0.333854,0.9526912,0.2444709
0.3275216,0.947188,0.2448643
0.3213584,0.9419397,0.2452805
0.3155001,0.9365673,0.24556
0.3100383,0.9320091,0.2457301
0.3100383,0.9320091,0.2457301
0.3044096,0.927248,0.2460182
0.2924755,0.9199857,0.2473025
0.2924755,0.9199857,0.2473025
0.2797974,0.913101,0.2486719
0.2739599,0.9106722,0.2491508
0.2739599,0.9106722,0.2491508
0.262718,0.9054657,0.2506209
0.2570099,0.9035456,0.2517511
0.2509217,0.9014247,0.2528725
0.2447958,0.9000033,0.2540484
0.2386914,0.8985996,0.2552966
0.2386914,0.8985996,0.2552966
0.2274688,0.8957059,0.2576544
0.2274688,0.8957059,0.2576544
0.2175094,0.8942444,0.2604303
0.2120549,0.8939296,0.2621233
0.2065163,0.8937383,0.2639011
0.2011104,0.8937302,0.2654875
0.1961004,0.8936069,0.2671089
0.1913554,0.893806,0.2686877
0.1871835,0.8939906,0.2702198
0.1833241,0.8942131,0.2719837
0.1833241,0.8942131,0.2719837
0.1747511,0.8951774,0.275766
0.1701384,0.8961535,0.2777399
0.1662176,0.8971674,0.2796281
0.1615297,0.8983138,0.2816585
0.1571865,0.8998175,0.2837551
0.1529781,0.9010418,0.2858146
0.1493339,0.9019662,0.2878217
0.1493339,0.9019662,0.2878217
0.1452418,0.9028862,0.2897628
0.139286,0.9043686,0.2932907
0.1356204,0.9060144,0.2958324
0.1327422,0.90728,0.2984647
0.1294017,0.909339,0.3013987
0.1294017,0.909339,0.3013987
0.1266792,0.9111953,0.3042433
0.1217311,0.9146788,0.3095447
0.1194015,0.9170805,0.3125751
0.1179908,0.9192103,0.3155788
0.1166555,0.9212055,0.3185303
0.1147889,0.9244094,0.322084
0.1147889,0.9244094,0.322084
0.1131665,0.9300072,0.3288725
0.1128356,0.9327832,0.3324803
0.1128356,0.9327832,0.3324803
0.1112396,0.939607,0.3402575
0.112839,0.9426236,0.3438082
0.112839,0.9426236,0.3438082
0.1123335,0.9510879,0.3524504
0.1121063,0.95577,0.3568965
0.1122303,0.9601291,0.3612638
0.1124592,0.9648077,0.3656046
0.1124079,0.9700848,0.3700752
0.1124079,0.9700848,0.3700752
0.1295205,0.9722964,0.3744765
0.1304282,0.9782608,0.379432
0.1309164,0.9841701,0.3841736
0.1315355,0.9897112,0.3888952
0.1319915,0.9957697,0.3934924
0.1319915,0.9957697,0.3934924
0.1327198,1.008445,0.4030707
0.133898,1.014988,0.4075777
0.1345795,1.021364,0.412126
0.1352258,1.028051,0.4165823
0.1360702,1.034543,0.4210425
0.1360702,1.034543,0.4210425
0.1370604,1.048597,0.429783
0.1378475,1.055641,0.4339287
0.1386696,1.062366,0.4379637
0.1386696,1.062366,0.4379637
0.1403827,1.076434,0.4460806
0.1403827,1.076434,0.4460806
0.1418817,1.090772,0.4535661
0.1428197,1.098052,0.4571635
0.1438051,1.105309,0.460705
0.1448723,1.11293,0.4640326
0.1458797,1.120517,0.4672402
0.1466426,1.128651,0.4703494
0.1466426,1.128651,0.4703494
0.1478249,1.144042,0.4765936
0.148335,1.151508,0.4795991
0.1490121,1.159264,0.4825789
0.1493738,1.166638,0.4851327
0.1498383,1.174231,0.4879017
0.1503087,1.182209,0.4902213
0.150571,1.190151,0.4926777
0.151135,1.198299,0.494953
0.151135,1.198299,0.494953
0.1520549,1.215135,0.4993517
0.1521153,1.223437,0.5013429
0.1521111,1.231398,0.503354
0.1519672,1.23885,0.5053211
0.1515103,1.246418,0.5070858
0.1511772,1.253982,0.5087295
0.1509857,1.261787,0.5101996
0.150688,1.269796,0.5116701
0.1505387,1.277768,0.5129379
0.1498966,1.28587,0.5141274
0.149056,1.294162,0.5152122
0.149056,1.294162,0.5152122
0.1458106,1.309679,0.516724
0.1439683,1.317222,0.5174431
0.1423857,1.324852,0.5178585
0.1408242,1.332357,0.5184356
