PositionX,PositionY,PositionZ
0.12329534,0.94965738,0.33257115
0.12078217,0.95398259,0.33635642
0.11834569,0.95863015,0.34033775
0.11590925,0.9636088,0.34436686
0.11345218,0.96914404,0.34858608
0.11121792,0.97426761,0.35246072
0.108737591,0.98063885,0.35695793
0.10634822,0.98742914,0.36164043
0.103722749,0.99511463,0.36687217
0.101618788,1.00174104,0.37123908
0.099389163,1.00982662,0.37629799
0.097142639,1.01833414,0.38150413
0.094861267,1.02738639,0.38681197
0.092563345,1.03706318,0.39229112
0.090342208,1.04715784,0.39791269
0.087897622,1.0585011,0.40410192
0.085778513,1.0696734,0.40984574
0.083661271,1.0812688,0.41556113
0.081780129,1.091969,0.42072728
0.079683052,1.104107,0.42635999
0.077504771,1.1172118,0.43158276
0.075541449,1.1293121,0.43620781
0.073585662,1.1418009,0.44058413
0.071677086,1.1545831,0.44472048
0.069808794,1.1677473,0.4484542
0.067949644,1.181225,0.45185632
0.066080333,1.1948384,0.45479809
0.064196819,1.208657,0.45711172
0.062092203,1.223976,0.45924808
0.060024959,1.2392409,0.46076772
0.058215153,1.2527907,0.46108573
0.056232694,1.2676071,0.46116558
0.054427045,1.2820123,0.46056013
0.052751283,1.2959212,0.4592603
0.051220252,1.3091264,0.45746465
0.049866442,1.321616,0.45505953
0.048683509,1.3333721,0.45233407
0.047706614,1.3442231,0.44939071
0.04697524,1.3541987,0.44627339
0.046487303,1.3632664,0.44302048
0.046188893,1.3715613,0.43993443
0.046076998,1.3789286,0.43684563
0.045956742,1.3853321,0.43384571
0.045900554,1.3909846,0.43100234
0.045878619,1.3958147,0.42836656
0.045854626,1.3999053,0.42596031
0.045683679,1.403015,0.42367496
0.045353889,1.4054719,0.42155705
0.044781227,1.4072353,0.41967754
0.043827395,1.4082454,0.41794687
0.042537813,1.4085186,0.41634154
0.0409365,1.4082875,0.41485899
0.039022526,1.4076339,0.41351197
0.03677821,1.4065257,0.41222924
0.034212194,1.4050357,0.41095587
0.031343071,1.4031858,0.409709
0.028385918,1.4011931,0.40854072
0.025348473,1.3989187,0.40743742
0.022280751,1.3964082,0.40639939
0.01932437,1.3937903,0.40551158
0.016436113,1.3910169,0.40469672
0.013552675,1.3879655,0.40399475
0.010735497,1.3847424,0.40334479
0.007909074,1.3812008,0.40274309
0.005083509,1.3774392,0.40212195
0.002220418,1.3733794,0.40142156
-0.00077187,1.3690056,0.40054578
-0.003855092,1.3643867,0.39952432
-0.007028209,1.3594802,0.39825674
-0.010358365,1.3544265,0.39675763
-0.013725612,1.3492143,0.39499025
-0.017107474,1.3438688,0.39290031
-0.020525569,1.338375,0.39058389
-0.023951392,1.3327013,0.38798341
-0.027334875,1.3268628,0.38514766
-0.030567745,1.3209086,0.38214895
-0.033647894,1.3148814,0.37901534
-0.036526905,1.3087287,0.3757513
-0.039189266,1.302544,0.37241061
-0.041619654,1.2961573,0.36894306
-0.043804791,1.2895867,0.36545541
-0.045750199,1.2828626,0.36196205
-0.047352817,1.2759836,0.35846389
-0.048643166,1.2690302,0.3550378
-0.049498913,1.2620081,0.35172996
-0.04996846,1.2549463,0.34854052
-0.049960273,1.2478604,0.34551433
-0.049563276,1.2407796,0.34266108
-0.048821822,1.2336854,0.34000694
-0.047550021,1.2267736,0.33763904
-0.045937797,1.2199855,0.33549222
-0.043835766,1.2134173,0.33365426
-0.041300854,1.2071178,0.33213817
-0.038274847,1.2011205,0.3309819
-0.034881443,1.1954656,0.33012753
-0.031147406,1.1901595,0.32961056
-0.027073617,1.1853085,0.32949418
-0.022623444,1.1809609,0.32980408
-0.017815802,1.1770507,0.33045178
-0.012752684,1.173645,0.33141733
-0.007293032,1.1708161,0.33280139
-0.001608848,1.1684411,0.33446508
0.004429055,1.166715,0.33650543
0.010734265,1.1655112,0.33880437
0.017297955,1.1649485,0.34146676
0.02414234,1.1650504,0.34442703
0.0312692,1.1657468,0.34760918
0.037784039,1.1665978,0.35054679
0.045459503,1.1685448,0.35424075
0.053389866,1.171118,0.35815956
0.061542275,1.1743977,0.36228709
0.0699485,1.1784982,0.36660915
0.078439925,1.1832507,0.37094855
0.087079817,1.1887339,0.37536603
