PositionX,PositionY,PositionZ
0.3868942,1.475554,0.2406089
0.3812172,1.482002,0.2436113
0.3760971,1.488525,0.2470035
0.3711173,1.495072,0.2499291
0.36649,1.501462,0.2523848
0.3624794,1.508031,0.2548976
0.3586962,1.51478,0.256658
0.3547508,1.520532,0.2583208
0.3513622,1.525602,0.2598544
0.3474874,1.531019,0.2616035
0.3445829,1.535677,0.2626657
0.3411823,1.541095,0.2644787
0.3396828,1.545825,0.264729
0.3376443,1.551167,0.2654564
0.3362111,1.555533,0.2654402
0.3338047,1.559144,0.2658184
0.3319715,1.56242,0.2658042
0.3294193,1.564405,0.2654532
0.327862,1.567034,0.265232
0.3265238,1.568897,0.2650711
0.3259641,1.570912,0.2645148
0.3261294,1.572209,0.2638361
0.3277072,1.572835,0.2627994
0.3292212,1.572839,0.2614079
0.3309171,1.572202,0.2599588
0.3326982,1.570943,0.2586075
0.3346299,1.569478,0.2575186
0.3372435,1.566201,0.2562186
0.3399385,1.563342,0.2552265
0.3437435,1.558013,0.254727
0.3474601,1.552886,0.2541789
0.3474601,1.552886,0.2541789
0.3546132,1.542384,0.2537994
0.3593725,1.535212,0.253824
0.3646028,1.525618,0.2547059
0.368877,1.517346,0.2554858
0.373433,1.507213,0.256925
0.3775033,1.496151,0.2586922
0.3813858,1.485523,0.2607861
0.3850532,1.472906,0.2637669
0.3890447,1.459503,0.2670392
0.3918546,1.446104,0.270732
0.3944226,1.432088,0.2742425
0.3964516,1.417754,0.278122
0.398971,1.404324,0.2818097
0.4003428,1.389591,0.2858304
0.4016463,1.374665,0.2899975
0.4036189,1.358587,0.294019
0.4048498,1.343244,0.2980402
0.4058941,1.326235,0.3021414
0.4051694,1.308912,0.3060716
0.4041981,1.291376,0.3097565
0.4031881,1.274079,0.3139417
0.3981016,1.256566,0.3167439
0.3953509,1.239406,0.3203516
0.3900895,1.222895,0.3228271
0.3864692,1.206121,0.3261213
0.3799192,1.189867,0.3278148
0.3753022,1.1729,0.3300704
0.3701454,1.156536,0.3316576
0.3635511,1.141134,0.3317727
0.3577966,1.125672,0.3331662
0.3506752,1.111754,0.3328842
0.343355,1.098846,0.332981
0.3361087,1.085762,0.3331481
0.3274419,1.073774,0.3322177
0.3201505,1.06096,0.3321022
0.3125396,1.049572,0.3308533
0.3059,1.037844,0.3302016
0.2989649,1.027668,0.3287404
0.2922492,1.019214,0.326911
0.2847336,1.010432,0.3253514
0.2776949,1.001987,0.3243571
0.2707134,0.9943233,0.3227175
0.2639709,0.9875507,0.3214064
0.2574118,0.980082,0.3199213
