PositionX,PositionY,PositionZ
0.11446466,0.96492082,0.34554772
0.11221686,0.9705627,0.3501901
0.10952452,0.9774135,0.35564382
0.1072746,0.9838164,0.36023316
0.10546946,0.98905824,0.36379162
0.103010522,0.99635688,0.36836814
0.10047958,1.00429558,0.37309076
0.097920978,1.01281576,0.37810052
0.095962976,1.01966568,0.382245
0.093308866,1.030595,0.38880436
0.091274756,1.0403114,0.39464012
0.089242954,1.0504772,0.40053318
0.087205712,1.0613106,0.40648172
0.08472144,1.07465,0.41358038
0.082486378,1.0864072,0.41939948
0.08028227,1.0990354,0.42505136
0.078079588,1.1120604,0.43058908
0.076354546,1.1226274,0.43497284
0.074644664,1.133564,0.4391396
0.072523164,1.1480164,0.44376604
0.070800628,1.1595888,0.44736426
0.069091736,1.1715414,0.45057918
0.066999626,1.1865388,0.45446812
0.064972924,1.2019306,0.4577688
0.063376124,1.2144336,0.4599466
0.061360038,1.230088,0.46223192
0.059301902,1.2457726,0.46364426
0.05718478,1.2614132,0.46402804
0.055076994,1.2765512,0.46376664
0.053054182,1.2911478,0.46222486
0.05110535,1.3051262,0.46009924
0.049552188,1.318252,0.457476
0.048317786,1.3304292,0.45449256
0.04736351,1.3417016,0.45116266
0.046678702,1.3520842,0.4478942
0.046261668,1.361618,0.4445689
0.04586104,1.3701942,0.44130542
0.045632694,1.3779682,0.43805422
0.045611096,1.3848312,0.4348783
0.045699084,1.3910384,0.43197466
0.045892328,1.3962392,0.42912236
0.046052444,1.40047,0.426386
0.046168414,1.404001,0.42395046
0.046146142,1.4067982,0.42185482
0.046010168,1.4087722,0.41994596
0.04547503,1.4097908,0.41822756
0.044655334,1.4104738,0.4167281
0.04339404,1.4104696,0.41540462
0.041508648,1.4096926,0.41403892
0.039065458,1.408265,0.41273712
0.03639797,1.4067842,0.41149042
0.033389718,1.404794,0.41029584
0.03016238,1.4025818,0.40905386
0.02691574,1.4003788,0.40787282
0.023620684,1.3981066,0.40668088
0.020373866,1.395602,0.40559102
0.017307228,1.3930434,0.404579
0.014399121,1.3902346,0.40374492
0.011733,1.3872018,0.40315034
0.009251542,1.3839272,0.40271256
0.006731485,1.380329,0.40239848
0.004163766,1.3764414,0.40211058
0.001419026,1.372167,0.40174126
-0.001565982,1.3676766,0.40109356
-0.004810707,1.3628316,0.40013056
-0.008275225,1.3576822,0.39869308
-0.01187395,1.352332,0.39693806
-0.015475443,1.3467934,0.39477222
-0.019150748,1.3411764,0.3924217
-0.022640518,1.335597,0.38984994
-0.025939722,1.3300554,0.38710754
-0.029177188,1.324418,0.38422972
-0.03242734,1.3186092,0.3811946
-0.035519002,1.3125492,0.37787362
-0.038494972,1.3062202,0.37444796
-0.041356066,1.2997074,0.37092314
-0.043876622,1.2930394,0.36727288
-0.045951192,1.2864788,0.36362662
-0.047720306,1.2797654,0.3600125
-0.04911461,1.2729532,0.35646286
-0.050144332,1.2660178,0.35300096
-0.050829012,1.2589278,0.3496549
-0.05133514,1.2515816,0.34644898
-0.05127752,1.2442508,0.34344742
-0.05082231,1.2369394,0.34061818
-0.049776214,1.229703,0.3380277
-0.04829754,1.2226314,0.33566726
-0.046308504,1.2157892,0.3335649
-0.043822522,1.2092964,0.33183066
-0.041053284,1.2030316,0.33036626
-0.037895318,1.1971316,0.32928082
-0.034304168,1.1916042,0.32860908
-0.03024119,1.1864518,0.3283989
-0.025940364,1.1816348,0.3284244
-0.021241528,1.1772874,0.32885486
-0.016251915,1.1734854,0.32970754
-0.010942721,1.1703176,0.33099908
-0.005390415,1.1676496,0.33250466
0.000434995,1.1656552,0.33441026
0.006655463,1.1643448,0.33674792
0.013034219,1.1633968,0.33922262
0.01980083,1.1631124,0.34201178
0.026858944,1.1633728,0.34510408
0.034160914,1.1642418,0.34852326
0.041629216,1.165756,0.35210614
0.049504182,1.1680968,0.35599574
0.055767248,1.1700832,0.3590818
0.064060062,1.1737168,0.36337742
0.072618818,1.1779942,0.36779586
0.081455334,1.1830394,0.37246804
0.090392818,1.1888996,0.37722256
0.101112602,1.1964182,0.3828153
0.110099572,1.203751,0.38735464
0.11908546,1.2119502,0.39162166
0.1280217,1.2206142,0.39558384
