PositionX,PositionY,PositionZ
0.4514386,1.462242,0.2640124
0.4516184,1.462421,0.2638447
0.4513984,1.462494,0.2639256
0.4513332,1.462498,0.2639118
0.4512303,1.462322,0.2640137
0.4512266,1.462208,0.2638224
0.4511525,1.462221,0.2635985
0.4511866,1.46209,0.2635933
0.4511575,1.46203,0.2634181
0.4508881,1.461997,0.2635293
0.4510644,1.461944,0.2635013
0.4510774,1.4619,0.2635025
0.4510914,1.461774,0.2633725
0.451039,1.461705,0.2634765
0.4509544,1.461563,0.2636321
0.4509448,1.461369,0.2636917
0.451061,1.461227,0.2636363
0.4511291,1.460919,0.2637038
0.4510306,1.460548,0.263871
0.4509779,1.459864,0.2638381
0.4510674,1.459367,0.2638845
0.4510674,1.459367,0.2638845
0.4509592,1.458604,0.2639324
0.4508721,1.457848,0.2641928
0.4510234,1.456971,0.2644451
0.4511815,1.45613,0.2646382
0.4513044,1.455158,0.2649009
0.4513798,1.454092,0.2652674
0.4514584,1.452846,0.2656522
0.4516284,1.450723,0.2661445
0.4517746,1.448437,0.2667776
0.4519561,1.445578,0.2676994
0.4521639,1.442864,0.2685239
0.4523996,1.43918,0.2697499
0.4527964,1.435431,0.2711089
0.4533769,1.431195,0.2721833
0.4538578,1.427191,0.2732224
0.4542609,1.422155,0.2746014
0.4544442,1.416294,0.2762286
0.4545346,1.409904,0.2781947
0.4548951,1.403879,0.2800565
0.4553829,1.397166,0.2821747
0.456087,1.390598,0.2840786
0.4569994,1.384501,0.2855953
0.4577623,1.378032,0.2868823
0.45813,1.371156,0.2884128
0.4581759,1.364193,0.2901407
0.457552,1.356846,0.2923674
0.4564102,1.349833,0.2944645
0.4544194,1.343501,0.2966947
0.4540976,1.33721,0.2978933
0.4533126,1.330673,0.2993755
0.4525269,1.324097,0.3010678
0.4517063,1.31759,0.3025326
0.4506246,1.311074,0.3038368
0.4492385,1.304637,0.3049209
0.4477603,1.298721,0.306011
0.44609,1.293133,0.3070325
0.4443734,1.287195,0.3084501
0.4422794,1.281518,0.3101864
0.4401073,1.276209,0.3109661
0.4377505,1.270607,0.3124316
0.4353274,1.264993,0.3137352
0.4329091,1.259622,0.3149871
0.4305166,1.254305,0.3159779
0.4276832,1.249377,0.3166503
0.4250679,1.244555,0.3177167
0.422001,1.240661,0.3185572
0.4190025,1.236892,0.3196971
0.4157701,1.233423,0.320697
0.4127263,1.230068,0.3216102
0.4097152,1.226649,0.3226345
0.4068596,1.224421,0.3234359
0.4040247,1.221796,0.3246181
0.4005507,1.220023,0.3256649
0.3975438,1.218026,0.3268002
0.3944727,1.216737,0.3277918
0.3917622,1.215563,0.3287621
0.3885537,1.214304,0.3298253
0.3857459,1.212922,0.3309813
0.3821628,1.211765,0.3319383
0.3793116,1.210925,0.3326552
0.3766516,1.210388,0.333371
0.3736319,1.210082,0.3342555
0.3713012,1.209713,0.3351183
0.3683851,1.209754,0.3361452
0.3664693,1.209921,0.3368038
0.3639778,1.21013,0.3374074
0.3622322,1.210436,0.3380695
0.3604577,1.210941,0.3389115
0.3575864,1.211378,0.3400494
0.3556313,1.211896,0.3408064
0.3530629,1.212256,0.3414473
0.3498547,1.213171,0.3427325
0.3471177,1.213698,0.3436235
0.3445266,1.214937,0.3443229
0.3426932,1.216146,0.3451366
0.3402494,1.217952,0.3461655
0.3385235,1.219245,0.3468416
0.3374588,1.219844,0.3470035
0.3363502,1.22052,0.3474136
0.3341854,1.221438,0.3481373
0.3333164,1.222011,0.3484974
0.3311602,1.223004,0.3492904
0.3309661,1.223539,0.3494672
0.3296854,1.224329,0.3498986
0.3294202,1.225077,0.3501064
0.3282849,1.225987,0.3506292
0.3282281,1.226793,0.3508863
0.3278846,1.227707,0.3514282
0.3263089,1.228702,0.3521983
0.3263633,1.229035,0.3523586
0.3251582,1.229579,0.3527667
0.3251627,1.229644,0.3527091
0.3252858,1.229676,0.3526355
0.3242667,1.23037,0.353035
0.3247399,1.230691,0.3529408
0.3239332,1.231557,0.3533478
0.3238667,1.232587,0.3537104
0.3231225,1.233542,0.3540845
0.32301,1.233845,0.3538952
0.3222696,1.233909,0.3537858
0.3219901,1.233828,0.3538297
0.3214252,1.233844,0.3539648
0.3205965,1.23369,0.3541501
0.3204083,1.233467,0.354148
0.3197233,1.233286,0.3543445
0.3187777,1.233505,0.3547189
0.3173478,1.233303,0.3549605
0.3164172,1.23271,0.3548616
0.3152175,1.232349,0.3550439
0.3149746,1.231895,0.3549471
0.3145871,1.231419,0.3549681
0.3135802,1.230916,0.3552002
0.3136358,1.229684,0.3551258
0.3124673,1.22912,0.3554622
0.3122326,1.228245,0.3555154
0.3109177,1.227845,0.3558822
0.3103496,1.227286,0.3559773
0.3090851,1.226945,0.3563272
0.3086149,1.226277,0.3563873
0.3075868,1.225769,0.3566859
0.3066114,1.22514,0.3569551
0.3062321,1.224367,0.3572781
0.3054555,1.223947,0.3576808
0.3051844,1.223235,0.3579134
0.3045067,1.223069,0.3581631
0.3043347,1.222636,0.3582104
0.3034257,1.22263,0.3584737
